path,unit,bytes,species_slug,shape,detail
gynaephora-rossi/Gynaephora rossi-B-V.jpg,object,134139,gynaephora-rossi,photo-no-row,no row in data/images.csv; gynaephora-rossi is not in data/species.csv
heliothis-virescens/Heliothis virescens-B-D.jpg,object,127892,heliothis-virescens,photo-no-row,no row in data/images.csv; heliothis-virescens is not in data/species.csv
heliothis-virescens/Heliothis virescens-B-V.jpg,object,122787,heliothis-virescens,photo-no-row,no row in data/images.csv; heliothis-virescens is not in data/species.csv
hemeroplanis-finitima/Hemeroplanis finitima-A-D.jpg,object,141176,hemeroplanis-finitima,photo-no-row,no row in data/images.csv; hemeroplanis-finitima is not in data/species.csv
hemeroplanis-finitima/Hemeroplanis finitima-A-V.jpg,object,126831,hemeroplanis-finitima,photo-no-row,no row in data/images.csv; hemeroplanis-finitima is not in data/species.csv
hemeroplanis-finitima/Hemeroplanis finitima-B-D.jpg,object,157947,hemeroplanis-finitima,photo-no-row,no row in data/images.csv; hemeroplanis-finitima is not in data/species.csv
hemeroplanis-finitima/Hemeroplanis finitima-B-V.jpg,object,145597,hemeroplanis-finitima,photo-no-row,no row in data/images.csv; hemeroplanis-finitima is not in data/species.csv
hesperumia-fumosaria/Hesperumia fumosaria-OSAC_0000449697-D.jpg,object,342847,hesperumia-fumosaria,photo-no-row,no row in data/images.csv; hesperumia-fumosaria is not in data/species.csv
hesperumia-fumosaria/Hesperumia fumosaria-OSAC_0000449697-V.jpg,object,318894,hesperumia-fumosaria,photo-no-row,no row in data/images.csv; hesperumia-fumosaria is not in data/species.csv
hesperumia-fumosaria/Hesperumia fumosaria-OSAC_0001081314-D.jpg,object,362314,hesperumia-fumosaria,photo-no-row,no row in data/images.csv; hesperumia-fumosaria is not in data/species.csv
hesperumia-fumosaria/Hesperumia fumosaria-OSAC_0001081314-V.jpg,object,360887,hesperumia-fumosaria,photo-no-row,no row in data/images.csv; hesperumia-fumosaria is not in data/species.csv
holarctia-obliterata/Holarctia obliterata-A-D.jpg,object,144508,holarctia-obliterata,photo-no-row,no row in data/images.csv; holarctia-obliterata is not in data/species.csv
holarctia-obliterata/Holarctia obliterata-A-V.jpg,object,139490,holarctia-obliterata,photo-no-row,no row in data/images.csv; holarctia-obliterata is not in data/species.csv
holoarctia-sordida/Holoarctia sordida-A-D.jpg,object,136704,holoarctia-sordida,photo-no-row,no row in data/images.csv; holoarctia-sordida is not in data/species.csv
holoarctia-sordida/Holoarctia sordida-A-V.jpg,object,138330,holoarctia-sordida,photo-no-row,no row in data/images.csv; holoarctia-sordida is not in data/species.csv
holoarctia-sordida/Holoarctia sordida-B-D.jpg,object,144312,holoarctia-sordida,photo-no-row,no row in data/images.csv; holoarctia-sordida is not in data/species.csv
holoarctia-sordida/Holoarctia sordida-B-V.jpg,object,140208,holoarctia-sordida,photo-no-row,no row in data/images.csv; holoarctia-sordida is not in data/species.csv
holoarctia-sordida/Holoarctia sordida-C-D.jpg,object,148797,holoarctia-sordida,photo-no-row,no row in data/images.csv; holoarctia-sordida is not in data/species.csv
holoarctia-sordida/Holoarctia sordida-C-V.jpg,object,141862,holoarctia-sordida,photo-no-row,no row in data/images.csv; holoarctia-sordida is not in data/species.csv
horisme-intestinata/Horisme intestinata-OSAC_0001033503-D.jpg,object,367650,horisme-intestinata,photo-no-row,no row in data/images.csv; horisme-intestinata is not in data/species.csv
horisme-intestinata/Horisme intestinata-OSAC_0001033503-V.jpg,object,379986,horisme-intestinata,photo-no-row,no row in data/images.csv; horisme-intestinata is not in data/species.csv
hyalophora-columbia/Hyalophora columbia-A-D.jpg,object,171827,hyalophora-columbia,photo-no-row,no row in data/images.csv; hyalophora-columbia is not in data/species.csv
hyalophora-columbia/Hyalophora columbia-A-V.jpg,object,181767,hyalophora-columbia,photo-no-row,no row in data/images.csv; hyalophora-columbia is not in data/species.csv
hyalophora-columbia/Hyalophora columbia-B-D.jpg,object,168044,hyalophora-columbia,photo-no-row,no row in data/images.csv; hyalophora-columbia is not in data/species.csv
hyalophora-columbia/Hyalophora columbia-B-V.jpg,object,178141,hyalophora-columbia,photo-no-row,no row in data/images.csv; hyalophora-columbia is not in data/species.csv
hydraecia-pallescens/Hydraecia pallescens-A-D.jpg,object,114567,hydraecia-pallescens,photo-no-row,no row in data/images.csv; hydraecia-pallescens is not in data/species.csv
hydraecia-pallescens/Hydraecia pallescens-A-V.jpg,object,112172,hydraecia-pallescens,photo-no-row,no row in data/images.csv; hydraecia-pallescens is not in data/species.csv
hydraecia-pallescens/Hydraecia pallescens-B-D.jpg,object,130696,hydraecia-pallescens,photo-no-row,no row in data/images.csv; hydraecia-pallescens is not in data/species.csv
